arm,qid,type,question,expected,answer,cited,excerpts,target_retrieved,target_cited,all_cited_in_evidence,all_excerpts_found,latency_s,retrieval_s,error,correct,sources_support
rerank_off,1,text,What is retrieval augmented generation (RAG)?,Week 5 slide 10,"Retrieval-augmented generation (RAG) is a technique that retrieves relevant information from documents, databases, and other data sources and adds it to a model’s context to help generate a response to a user’s prompt or question (MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx — slide/page 10). It gives a model access to information beyond its training data, including more recent or private information (MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx — slide/page 11). RAG optimizes context by supplying relevant information when the model responds (MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx — slide/page 13).",[2] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p10; [5] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p11; [7] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13,"retrieves relevant information from documents, databases, and other data sources and adds it to a model’s context to help generate a response to a user’s prompt/question | RAG gives a model access to information beyond its training data, including more recent or private information | RAG optimizes context by supplying relevant information when the model responds",True,True,True,True,3.072,0.785,,,
rerank_on,1,text,What is retrieval augmented generation (RAG)?,Week 5 slide 10,"Retrieval-Augmented Generation (RAG) is a technique that retrieves relevant information from documents, databases, and other data sources and adds it to a model's context to help generate a response to a user's prompt or question. As shown in the ""Simplified RAG"" diagram on slide 10 of the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" presentation, the process involves retrieving supporting data, augmenting the prompt with that data, and then generating a response. Additionally, slide 13 notes that RAG optimizes context by supplying relevant information when the model responds.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p10; [6] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p13,"retrieves relevant information from documents, databases, and other data sources and adds it to a model’s context to help generate a response to a user’s prompt/question | RAG optimizes context by supplying relevant information when the model responds",True,True,True,True,5.517,3.679,,,
rerank_off,2,text,Why use RAG? Give the benefits over training data.,Week 5 slide 11,"According to the ""Why Use RAG?"" slide in the MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx presentation (page 11), RAG provides several benefits over relying solely on a model's training data:

*   **Access to New/Private Data:** It ""gives a model access to information beyond its training data, including more recent or private information.""
*   **Grounding and Verification:** It ""selects relevant material from a large collection – or corpus – and grounds responses in sources, making answers easier to verify.""
*   **Reduced Hallucinations:** By grounding responses in sources, it ""potentially reduc[es] hallucinations.""

The slide also highlights three specific benefits of RAG:
*   **Grounding:** ""Links answers to real evidence instead of relying only on memorized training data. This reduces hallucinations by tying outputs to verifiable sources.""
*   **Scalability:** ""Lets one model adapt to many domains without constant retraining. Retrieval keeps knowledge bases current, making it easier to scale across use cases.""
*   **Cost Efficiency:** ""Cuts down on repeated fine-tuning and heavy compute cycles. Shifting knowledge into external systems lowers overall costs.""",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p11; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p11,"RAG gives a model access to information beyond its training data, including more recent or private information | It selects relevant material from a large collection – or corpus – and grounds responses in sources, making answers easier to verify, potentially reducing hallucinations",True,True,True,True,3.178,0.786,,,
rerank_on,2,text,Why use RAG? Give the benefits over training data.,Week 5 slide 11,"According to the ""Why Use RAG?"" slide in the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" presentation (page 11), RAG provides several benefits over relying solely on a model's training data:

*   **Access to New and Private Information:** It ""gives a model access to information beyond its training data, including more recent or private information.""
*   **Grounding and Verification:** It ""selects relevant material from a large collection – or corpus – and grounds responses in sources, making answers easier to verify.""
*   **Reduced Hallucinations:** By grounding responses in sources, it can ""potentially reduc[e] hallucinations.""
*   **Cost Efficiency:** As shown in the ""Benefits of RAG"" diagram on the same slide, it offers ""Cost efficiency"" by ""Cut[ting] down on repeated fine-tuning and heavy compute cycles. Shifting knowledge into external systems lowers overall costs.""
*   **Scalability:** The diagram also highlights ""Scalability,"" explaining that it ""Lets one model adapt to many domains without constant retraining. Retrieval keeps knowledge bases current, making it easier to scale across use cases.""",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p11; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p11,"RAG gives a model access to information beyond its training data, including more recent or private information | It selects relevant material from a large collection – or corpus – and grounds responses in sources, making answers easier to verify, potentially reducing hallucinations",True,True,True,True,5.007,2.591,,,
rerank_off,3,text,What two components does hybrid RAG combine?,Week 5 slide 18,"According to the slide titled ""Hybrid RAG Pipeline with Reranking"" (MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx, page 18), Hybrid RAG combines **keyword search** and **vector search** to find relevant candidate chunks.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18,Retrieval finds relevant candidate chunks using both keyword search and vector search in Hybrid RAG,True,True,True,True,2.061,0.803,,,
rerank_on,3,text,What two components does hybrid RAG combine?,Week 5 slide 18,"According to the ""Hybrid RAG Pipeline with Reranking"" diagram and text on slide 18 of the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" presentation, Hybrid RAG combines **keyword search** and **vector search** to find relevant candidate chunks.",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18,Retrieval finds relevant candidate chunks using both keyword search and vector search in Hybrid RAG,True,True,True,True,4.224,2.621,,,
rerank_off,4,visual,What does the 'Vibe Coding on Prod' meme show?,Week 2 slide 33,"The meme on slide 33 of the ""MBAX 6418 - Week 2 - LLM Fundamentals v2.pptx"" presentation is titled ""Vibe Coding on 'Prod'"". It features the ""One Does Not Simply"" meme format, which is used to humorously suggest that a task is difficult or impossible. The text on the image reads: ""ONE DOES NOT SIMPLY VIBE CODE A PRODUCTION-GRADE ENTERPRISE APP"".",[1] MBAX 6418 - Week 2 - LLM Fundamentals v2.pptx p33,Vibe Coding on “Prod”,True,True,True,True,2.615,0.776,,,
rerank_on,4,visual,What does the 'Vibe Coding on Prod' meme show?,Week 2 slide 33,"The 'Vibe Coding on Prod' meme, shown on slide 33 of the MBAX 6418 - Week 2 - LLM Fundamentals v2.pptx presentation, uses the 'One Does Not Simply' format to humorously warn that one should not simply 'VIBE CODE A PRODUCTION-GRADE ENTERPRISE APP'.",[1] MBAX 6418 - Week 2 - LLM Fundamentals v2.pptx p33,Vibe Coding on “Prod”,True,True,True,True,4.318,2.941,,,
rerank_off,5,visual,Describe what the hybrid RAG pipeline diagram shows.,Week 5 slide 18,"The diagram on slide 18 of the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" presentation illustrates a ""Hybrid RAG Pipeline with Reranking."" As described in the slide, this pipeline uses information from prepared documents to help an LLM answer a user's question. The process begins with a ""Question"" that is sent to two parallel retrieval methods: ""Keyword Search"" and ""Vector Search"" (which uses an ""Embedding Model""). These methods combine to produce ""Candidate Chunks."" These candidates are then passed to a ""Reranker,"" which ""compares these candidates to the original question and prioritizes which chunks are supplied to the LLM as context."" The final output is ""Ranked Chunks With Source Details.""",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18,RAG uses information from prepared documents to help an LLM answer the user’s question | Retrieval finds relevant candidate chunks using both keyword search and vector search in Hybrid RAG | Reranking compares these candidates to the original question and prioritizes which chunks are supplied to the LLM as context,True,True,True,True,2.76,0.8,,,
rerank_on,5,visual,Describe what the hybrid RAG pipeline diagram shows.,Week 5 slide 18,"The ""Hybrid RAG Pipeline with Reranking"" diagram on slide 18 of the ""MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx"" document illustrates how a system uses prepared documents to help an LLM answer a user's question. The process begins with a user's question, which is processed through two parallel retrieval methods: ""Keyword Search"" and ""Vector Search"" (which uses an ""Embedding Model""). Both methods produce ""Candidate Chunks."" These candidates are then passed to a ""Reranker,"" which ""compares these candidates to the original question and prioritizes which chunks are supplied to the LLM as context."" The final output is ""Ranked Chunks With Source Details.""",[1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18; [1] MBAX 6418 - Week 5 - Context Engineering and RAG v1.pptx p18,RAG uses information from prepared documents to help an LLM answer the user’s question | Retrieval finds relevant candidate chunks using both keyword search and vector search in Hybrid RAG | Reranking compares these candidates to the original question and prioritizes which chunks are supplied to the LLM as context,True,True,True,True,5.035,3.039,,,
